Name,Id,Lat,Lng,Address,Features,Agoda,Website,Tel,SourceImage,Region
Global Plastic Surgery (글로벌성형외과의원),mdcl_3453934,37.5260016141,127.0337393595,"8F, 846 Eonju-ro, Gangnam-gu, Seoul (06020)",Clinic,,,,,
Glory Medical And Tour (글로리 매디컬 앤 투어),mdcl_3366236,37.3323365201,126.7961330816,"(#101), 26 Hwarang-ro, Danwon-gu, Ansan-si, Gyeonggi-do (15375)",Clinic,,,,,
Glory Seoul Eye Clinic (글로리서울안과의원),mdcl_3451318,37.4972798144,127.0262186348,"2F, 3 Seocho-daero 74-gil, Seocho-gu, Seoul (06620)",Clinic,,,,,
Glovi Plastic Surgery (글로비성형외과의원),mdcl_3365450,37.5244489133,127.0279899273,"(6th Floor, EGI Building), 843 Nonhyeon-ro, Gangnam-gu, Seoul (06031)",Clinic,,,,,
Gold J Clinic (골드제이의원),mdcl_3540229,37.5045210748,127.0504023398,"8th Floor, Daechi Building, 408 Teheran-ro, Gangnam-gu, Seoul (06192)",Clinic,,,,,
Golden Navis (골든나비스),mdcl_3367727,35.1493491662,129.0913502747,"(5th Floor), 128 Hwangnyeong-daero 319beon-gil, Nam-gu, Busan (48431)",Clinic,,,,,
Golden Tour Korea DMC (골든투어코리아 디엠씨),mdcl_3367550,37.5499529653,126.9544736796,"(#1227), 173 Mapo-daero, Mapo-gu, Seoul (04130)",Clinic,,,,,
Good Moonhwa Hospital (좋은문화병원),mdcl_3549488,35.1408078609,129.0591560867,"119 Beomil-ro, Dong-gu, Busan (48735)",Clinic,,,,,
Goodwill Dental Hospital (굿윌치과병원),mdcl_3451721,35.1539730619,129.0596167976,"4F, 686 Jungang-daero, Busanjin-gu, Busan (47296)",Clinic,,,,,
Gowoonsesang Kim Yang-Che & Jang Bong-Seok Skin Clinic (고운세상 김양제장봉석피부과의원),mdcl_3548871,35.1539730619,129.0596167976,"5th Floor, Gyeongnam Building, 686 Jungang-daero, Busanjin-gu, Busan (47296)",Clinic,,,,,
Grand Plastic Surgery (그랜드성형외과의원),mdcl_3366336,37.5241156178,127.0279232756,"(#601, 6th Floor, JB Miso Building), 841 Nonhyeon-ro, Gangnam-gu, Seoul (06031)",Clinic,,,,,
Gumi Gangdong Hospital (구미강동병원),mdcl_3548918,36.0962217061,128.4228715987,"46 Indong 20-gil, Gumi-si, Gyeongsangbuk-do (39399)",Clinic,,,,,
Guwol Oracle Dermatology & Plastic Surgery (구월동 오라클피부과),mdcl_3364701,37.4451828474,126.7008997299,"(6th Floor, LINK 126), 126 Yesul-ro, Namdong-gu, Incheon (21574)",Clinic,,,,,
